Song Title,Streams,Daily,Date
Thank Goodness - Live from the Dolby Theatre,3476335,2911,2026-05-11
"yes, and? - Felix Jaehn Remix",3355952,2081,2026-05-11
* Bang Bang - Imanos & Gramercy Remix,3285948,426,2026-05-11
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),3270247,4384,2026-05-11
A Little More Homework (feat. Graham Phillips) - Single Version,3024775,186,2026-05-11
* Hotel Rock Bottom (feat. Ariana Grande),2818745,2523,2026-05-11
"yes, and? - sped up",2610457,610,2026-05-11
Problem - Noodles & Devastator Remix,2603345,208,2026-05-11
the boy is mine - a cappella,2501827,1170,2026-05-11
* Bang Bang - Kat Krazy Remix,2480273,95,2026-05-11
* Rain On Me - Ralphi Rosario Remix - Edit,2206526,537,2026-05-11
"yes, and? - edit",2171954,798,2026-05-11
we can't be friends (wait for your love) - a cappella,2138571,2289,2026-05-11
"yes, and? - Jonas Blue Remix",2124198,2191,2026-05-11
"yes, and? - a cappella",2036920,964,2026-05-11
twilight zone - a cappella,1901257,1556,2026-05-11
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1893375,1055,2026-05-11
"the boy is mine (with Brandy, Monica) – Remix a cappella",1865878,488,2026-05-11
Problem - Kassiano Remix,1865625,52,2026-05-11
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1765203,1239,2026-05-11
Baby I,1677740,983,2026-05-11
Problem - A Cappella,1581220,874,2026-05-11
"yes, and? - instrumental",1554110,658,2026-05-11
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1549775,1451,2026-05-11
Hampstead - a cappella,1526032,2812,2026-05-11
* Bang Bang - Super Stylers Remix,1518886,108,2026-05-11
* Rain On Me - Ralphi Rosario Remix,1428667,261,2026-05-11
* For Good - Edit,1393657,5230,2026-05-11
supernatural - a cappella,1273997,1283,2026-05-11
past life - a cappella,1267614,7098,2026-05-11
eternal sunshine - a cappella,1111255,1467,2026-05-11
Break Free - Zedd's Extended Mix,1104329,3332,2026-05-11
pov - live from Vevo,1084745,3110,2026-05-11
twilight zone - instrumental,1053382,1345,2026-05-11
the boy is mine - instrumental,1043140,606,2026-05-11
safety net (feat. Ty Dolla $ign) - live from Vevo,1006109,3766,2026-05-11
my hair - live from Vevo,997842,3448,2026-05-11
off the table (with The Weeknd) - live from Vevo,990051,3211,2026-05-11
Popular - Live from the Dolby Theatre,982131,776,2026-05-11
warm - a cappella,941136,940,2026-05-11
"yes, and? - extended mix instrumental",924021,303,2026-05-11
positions - live from Vevo,906319,2906,2026-05-11
we can't be friends (wait for your love) - instrumental,856902,999,2026-05-11
dandelion - a cappella,850599,794,2026-05-11
bye - a cappella,839247,985,2026-05-11
i wish i hated you - a cappella,836626,787,2026-05-11
"yes, and? - slowed",819624,280,2026-05-11
we can't be friends (wait for your love) – string version instrumental,796854,859,2026-05-11
intro (end of the world) - extended a cappella,791724,889,2026-05-11
intro (end of the world) - a cappella,778024,754,2026-05-11
34+35 - live from Vevo,770468,2548,2026-05-11
* All My Love - French Version,753959,124,2026-05-11
don't wanna break up again - a cappella,746453,1116,2026-05-11
supernatural - instrumental,695358,989,2026-05-11
One Last Time - A Cappella,658481,1092,2026-05-11
"yes, and? - The Blessed Madonna’s Godsquad Mix",621999,601,2026-05-11
intro (end of the world) - instrumental,586136,1344,2026-05-11
imperfect for you - a cappella,578463,737,2026-05-11
Love Me Harder - Alex Ghenea Remix,562306,64,2026-05-11
One Last Time - Gazzo Remix,537351,66,2026-05-11
Saturn Returns Interlude - instrumental,508912,689,2026-05-11
ordinary things (feat. Nonna) - a cappella,501958,497,2026-05-11
Saturn Returns Interlude - a cappella,481786,418,2026-05-11
intro (end of the world) - extended instrumental,454464,1003,2026-05-11
eternal sunshine - instrumental,363059,689,2026-05-11
Love Me Harder - Instrumental,329312,943,2026-05-11
Love Me Harder - A Cappella,314340,643,2026-05-11
i wish i hated you - instrumental,301155,419,2026-05-11
dandelion - instrumental,293678,425,2026-05-11
Into You - Alex Ghenea Remix,284850,20,2026-05-11
Right There - 7th Heaven Radio Edit,282478,53,2026-05-11
bye - instrumental,273233,455,2026-05-11
Hampstead - instrumental,254699,427,2026-05-11
warm - instrumental,249734,401,2026-05-11
don't wanna break up again - instrumental,248201,354,2026-05-11
true story - instrumental,233108,1398,2026-05-11
