#,Artist,Listeners,Daily +/-,Peak,PkListeners
2130,REO Speedwagon,6606421,-16916,1393,7462185
2131,Cornelio Vega y su Dinastia,6605565,2990,1994,7019019
2132,Tropa da W&S,6602066,-17544,1125,9989760
2133,Five Finger Death Punch,6600284,-1254,1192,7365100
2134,Codiciado,6600186,-7506,1171,7368910
2135,Fontaines D.C.,6593333,3205,1955,6934140
2136,Vignesh Shivan,6585603,-2378,1936,7170922
2137,Büken,6579994,-8428,1828,7339623
2138,Jigar Saraiya,6579680,4073,1300,9061192
2139,Guaynaa,6578891,-3952,923,8534285
2140,Bakermat,6577848,-20632,615,14018425
2141,Sanjoy,6576623,9488,1109,9866074
2142,Henrique & Diego,6574919,3754,2111,6574919
2143,Julio Iglesias,6573298,-1779,2105,6688943
2144,Jack Ü,6569083,-190,630,16221953
2145,WIU,6568646,12356,701,11201412
2146,Pawan Singh,6568476,-16011,746,12240308
2147,Sublahshini,6554166,24014,1059,10410621
2148,Candi Staton,6551264,7075,2107,6718429
2149,Régulo Molina,6550948,-37842,1727,7513421
2150,LAVINIA,6549413,15882,1462,8236345
2151,La T y La M,6547066,144716,1556,7220118
2152,Zach Top,6546963,-10178,1381,8563425
2153,Spice,6543218,-32157,1992,6702490
2154,Franc Fala,6541042,-21375,1778,7015352
2155,Men I Trust,6540653,-13781,844,10199300
2156,Midland,6539995,-34393,2070,6755551
2157,Benja (NL),6537065,-21212,1801,6941003
2158,The Chicks,6531827,9218,1753,6531827
2159,Blu Cantrell,6529046,-22835,1877,6910674
2160,Take That,6525798,-12285,1585,6875255
2161,Lit,6523065,7079,1788,7377918
2162,Donna Summer,6522816,-20253,1577,7203012
2163,Warren Zeiders,6522621,-5737,1201,8549333
2164,MC GH do 7,6513479,-3854,932,9797437
2165,Dj Yuri Pedrada,6513377,9140,1337,9003533
2166,TOOL,6513034,9850,2072,6674370
2167,Blue Öyster Cult,6512638,2305,1403,8561405
2168,Rupert Holmes,6511970,-21413,1950,6627889
2169,Reble,6509695,-145357,826,13475382
2170,JT,6509532,1743,1300,7534042
2171,CamelPhat,6508588,-20163,1512,7035062
2172,The Cataracs,6507826,-10890,1901,6732550
2173,Lil Naay,6504876,-40910,1739,7929304
2174,Alabama,6501978,-15373,1988,6539002
2175,Hyder Dar,6501762,-1219,1379,8578285
2176,La Mano 1.9,6497647,4242,1479,8124842
2177,Jordin Sparks,6495397,65883,1704,7599326
2178,G Herbo,6491175,-8945,1175,8674682
2179,Nacho,6487232,-9228,1460,7395891
2180,Srinivas,6486035,1019,2150,6486035
2181,MF DOOM,6484965,-6506,1061,9588344
2182,Gavin Adcock,6483922,-7458,2046,6880910
2183,Vaibhav Pani,6480803,-3992,1548,7881515
2184,ATB,6480274,-19116,1355,7310007
2185,Ashe,6477986,-9360,516,14091983
2186,Rony Parulian,6474516,34418,1291,8418291
2187,Victony,6473730,50827,1453,7362836
2188,Katteyes,6466345,-42351,1135,9968926
2189,Wolfine,6463614,43155,825,10121369
2190,Vijay Antony,6462986,4681,2120,6462986
2191,Aaliyah,6461720,-293,1248,7854737
2192,Pablo,6460620,-18274,2163,6511800
2193,Mari Froes,6459417,15673,1699,7278420
2194,Dom Dolla,6457748,-5630,977,10582599
2195,Kidd Voodoo,6455040,-42712,1028,10512052
2196,Why Don't We,6446021,-13516,881,9309552
2197,Luiz Lins,6441374,3175,2139,6633964
2198,João Bosco & Vinícius,6440592,45121,1851,7238345
2199,Mobb Deep,6439501,28025,1354,8778398
2200,Neoni,6439153,11001,1442,7458050
2201,Mufasa & Hypeman,6437704,-9912,1417,6778711
2202,BLOND:ISH,6433829,-23846,1516,7962584
2203,Sam C.S.,6433822,-794,1398,7531884
2204,wifiskeleton,6433567,9075,1381,8480049
2205,S.P. Charan,6429473,4969,1943,6743525
2206,Chefin,6427279,503,975,9515372
2207,Johann Sebastian Bach,6427103,-18188,937,10160557
2208,Armada,6426313,-10053,2114,6651848
2209,Kerispatih,6423367,36491,1702,7580992
2210,Los Alegres Del Barranco,6414026,-40940,1541,8127978
2211,Deva,6413824,-1429,2040,6749213
2212,Vintage Culture,6411522,-3695,961,10029332
2213,Yiyo Sarante,6407106,-29569,1694,6927491
2214,Yuri Redicopa,6406008,-15628,1111,9816527
2215,Fonseca,6404530,-17094,1363,7462894
2216,Saweetie,6401112,17957,703,11523382
2217,Semicenk,6398096,-9927,1480,7752856
2218,Mufasa,6390072,-11448,2115,6475883
2219,Toshi Sabri,6389203,23192,2219,6389203
2220,Don Diablo,6389045,-27,1235,8151794
2221,The Greatest Showman Ensemble,6383751,-4191,1583,7118574
2222,Benjamin Diamond,6379889,-1918,1905,7300188
2223,Código FN,6377653,-11911,1849,9044494
2224,Delacruz,6375508,-10222,1446,7499284
2225,Luis Mexia,6372991,-10978,1378,7886669
2226,Mr Plata,6370133,-22512,2179,6486013
2227,Marisela,6367158,-18372,1353,7870024
2228,Alan Arrieta,6362437,-22183,1296,8782267
2229,La Receta,6360643,-30841,1481,7558577
2230,Carly Simon,6355176,7957,1410,7717456
2231,Niska,6349496,-7234,1740,6420505
2232,RaiNao,6347030,-17948,315,21341252
2233,Lilly Wood and The Prick,6345399,-35166,917,10680087
2234,El Bebeto,6341379,-47891,2061,6816758
2235,Fernando & Sorocaba,6340161,20184,1458,7056951
2236,Ana Bárbara,6337551,-25723,1387,6507276
2237,Sezen Aksu,6337083,-13622,1631,7519451
2238,Kyle Raphael,6336568,-573,2100,6400738
2239,DJ TOPO,6330964,-6420,721,12220776
2240,Stardust,6328491,-2611,1916,7246802
2241,MAX,6328211,-6164,750,11143093
2242,Felipe Araújo,6320727,-22559,1351,8081769
