#,Artist,Listeners,Daily +/-,Peak,PkListeners
1,Bruno Mars,130834997,-299300,1,151079821
2,Justin Bieber,124010016,-238407,1,146972758
3,The Weeknd,113138329,-205137,1,126192069
4,Rihanna,110858382,-37094,2,112668942
5,Shakira,102456119,248080,3,102456119
6,Michael Jackson,102452039,-348762,4,113091027
7,Taylor Swift,101097873,-133617,1,116229071
8,Bad Bunny,98440451,-76300,2,123934765
9,Lady Gaga,97821249,-264919,2,124637761
10,Ariana Grande,93789729,-182894,1,126970279
11,Coldplay,92165328,-49390,4,101505654
12,Drake,91691078,-96192,3,100057064
13,Katy Perry,91378116,58142,13,91378116
14,Pitbull,87590381,-69397,13,89612836
15,David Guetta,87269937,-115329,4,89315609
16,Ed Sheeran,83184365,-148608,2,102809026
17,Calvin Harris,80636909,-253324,13,81341228
18,Maroon 5,79355739,-120908,14,80678070
19,Billie Eilish,77768227,-176565,1,108297865
20,J Balvin,71841254,-177036,11,85751171
21,Eminem,70769545,-99462,5,86389533
22,Kanye West,69464860,-155501,6,78581428
23,Olivia Rodrigo,68682445,-256247,18,71483355
24,Sia,68307701,-101010,8,100120416
25,Dua Lipa,67636047,-310017,3,78673675
26,Kendrick Lamar,67361287,-174640,4,112091210
27,SZA,66357616,-26294,6,97852020
28,Black Eyed Peas,66171993,-40764,26,67173928
29,Daddy Yankee,65433355,1439,22,66859292
30,Harry Styles,64298416,-46043,13,72497079
31,Lana Del Rey,62635946,-26197,22,66553669
32,Sean Paul,62355870,-164036,31,64638835
33,Zara Larsson,61185225,-98065,23,71288935
34,Beyoncé,61118669,76137,6,78122541
35,Post Malone,60899909,-67869,3,98466468
36,Sabrina Carpenter,60885126,-163706,4,90844193
37,Tame Impala,59839006,-85838,31,64654298
38,Travis Scott,58806159,-23388,6,75557671
39,Chris Brown,58664811,-79445,25,64080293
40,Miley Cyrus,57740850,-98738,2,84140935
41,Justin Timberlake,56607424,24500,41,57620604
42,sombr,56552514,-123818,29,60589162
43,Dominic Fike,56443135,-88837,30,65163766
44,Madonna,55795478,-32121,44,56308481
45,Linkin Park,55184929,-119945,29,60369972
46,Shawn Mendes,54687361,-64735,45,54932702
47,Sam Smith,54520924,-109364,7,73972799
48,Arijit Singh,54373988,-34702,39,56255270
49,Adele,54348827,-12263,23,62764213
50,Burna Boy,54332489,438765,50,54332489
51,Doja Cat,53562956,-66741,5,76357864
52,Khalid,53546357,-25288,28,55253946
53,Future,53421697,-40098,22,65628348
54,Marshmello,53156601,-118032,11,68947085
55,Halsey,53097828,156389,45,54839229
56,Jennifer Lopez,53036586,-82974,47,54907241
57,Imagine Dragons,53008557,-141824,18,62801774
58,Elton John,52659388,-119770,16,74153795
59,KAROL G,52604368,-68874,21,63139763
60,Ellie Goulding,52341353,-177166,51,52846431
61,Arctic Monkeys,52284809,-13167,36,56618863
62,Shreya Ghoshal,52278272,35612,48,53470893
63,Olivia Dean,52046137,-92582,32,62143559
64,Rauw Alejandro,51500486,-56935,33,61676420
65,Queen,51250987,-235362,28,66924652
66,Fleetwood Mac,50897005,-110972,50,54188220
67,The Chainsmokers,50894432,-57723,44,52992550
68,Ozuna,50888096,-35926,40,53667513
69,Pritam,49998821,23394,60,50098183
70,Alicia Keys,49922289,10091,70,49922289
71,DJ Snake,49912262,-167583,42,59038890
72,Ne-Yo,49821153,-38795,68,50088935
73,JENNIE,49345559,-153339,42,56944814
74,Maluma,49017930,-121584,56,49502148
75,OneRepublic,48777202,-153819,23,64167172
76,Camila Cabello,48452704,-133672,57,49038539
77,Don Omar,47903168,-279206,65,50458922
78,Britney Spears,47876495,10340,39,60255073
79,Charlie Puth,47812748,-161920,58,50093170
80,USHER,47184939,-20575,47,51216038
81,A.R. Rahman,47117168,-65420,65,48780171
82,JAŸ-Z,46925235,12619,66,46925235
83,Red Hot Chili Peppers,46767892,-86875,71,48273567
84,Nicki Minaj,46732112,-65636,18,65680733
85,Fuerza Regida,46027143,-205321,77,48523279
86,One Direction,45552205,-125536,26,61154815
87,Peso Pluma,45428610,-128580,27,59429724
88,Alex Warren,45271505,10537,35,55736704
89,Farruko,45201121,-49189,64,47155680
90,Lil Wayne,44899811,-50679,43,52904090
91,Kesha,44786292,-84695,56,51088856
92,Diplo,44779202,-80923,88,45780006
93,Flo Rida,44197350,-115302,88,45305864
94,The Neighbourhood,44174084,-35187,53,50960590
95,The Kid LAROI,44070419,25329,50,46982806
96,Wiz Khalifa,44043840,-94996,78,47638912
97,RAYE,43862298,-122619,41,57509587
98,50 Cent,43621180,-30828,69,47600425
99,Don Toliver,43435692,-114841,65,50431984
100,Radiohead,43181297,-33743,76,45494496
101,Anuel AA,42982656,-141514,83,44917012
102,Bebe Rexha,42919561,-45405,37,49496274
103,Selena Gomez,42909855,-28720,22,58879269
104,ABBA,42894406,-90133,87,45956945
105,Benson Boone,42390283,44231,31,60310612
106,Tate McRae,42054672,-88389,26,59945963
107,Green Day,41854595,-49466,96,42789293
108,Myke Towers,41605922,-69189,48,47235005
109,Empire Of The Sun,41530963,-54083,105,42178200
110,Teddy Swims,41324142,-32391,44,51616484
111,Avicii,41200349,-47319,68,43468577
112,Swae Lee,41141961,-28991,51,47431521
113,Daniel Caesar,41015127,-3711,69,45431539
114,Oasis,40748285,448817,114,40748285
115,Metro Boomin,40385551,-95187,17,64728517
116,21 Savage,40366509,-87394,17,66771445
117,The Goo Goo Dolls,40213166,98945,105,40213166
118,Guns N' Roses,40122952,-103939,116,40368203
119,Akon,40107604,-7359,108,41611403
120,The Police,39979850,-8561,61,50538889
121,Playboi Carti,39968509,-110252,27,62424456
122,Hozier,39640320,-149680,32,57616097
123,Pharrell Williams,39528754,-127296,89,41485126
124,Mac Miller,39500305,2815,123,39500305
125,Twenty One Pilots,39496543,-190331,105,41731612
126,Disney,39165185,68751,107,41686203
127,"Tyler, The Creator",38946783,-63696,43,52930766
128,Jason Derulo,38734573,55146,77,39368590
129,Irshad Kamil,38671435,-50487,106,41787904
130,AC/DC,38563295,-59860,77,40609655
131,Malcolm Todd,38354556,19342,131,38354556
132,Nirvana,38348323,1220,122,38937329
133,Frank Ocean,38208538,-49343,96,40820285
134,The Beatles,38104851,36025,78,38104851
135,Gorillaz,37870590,-139216,54,43738439
136,Feid,37866786,-73795,53,46407503
137,Manuel Turizo,37772280,-156238,66,39587171
138,Grupo Frontera,37466160,-97447,64,39359637
139,A$AP Rocky,37409652,-68266,69,47505466
140,Anitta,37226225,-114426,99,45678504
141,Romeo Santos,37225055,-28544,97,40825832
142,Tems,37100931,-104032,89,45584120
143,J. Cole,37074478,-92879,45,48760887
144,Gracie Abrams,36958387,21567,43,51497815
145,The Killers,36879341,58102,145,36879341
146,P!nk,36862588,-64232,68,39406788
147,Demi Lovato,36624336,-62929,98,39144950
148,HUGEL,36456463,137952,148,36456463
149,Djo,36326503,5019,25,64626108
150,Creedence Clearwater Revival,36254354,-41028,92,38637577
151,Enrique Iglesias,36235100,-39580,122,36274680
152,Nicky Jam,36161847,-78634,110,37978413
153,Sachin-Jigar,35952034,-38042,115,38210170
154,Amitabh Bhattacharya,35604731,11061,138,37008407
155,Major Lazer,35554325,-95931,132,38150336
156,Clean Bandit,35360662,-78815,149,36347569
157,Ty Dolla $ign,35268474,-91325,40,52532512
158,BTS,35165278,-45133,63,46724346
159,Mariah Carey,35145811,50616,5,103891529
160,Morgan Wallen,34460446,-85303,59,46385773
161,Ovy On The Drums,34456382,14775,99,38983123
162,Tiësto,34312280,-40634,38,53621311
163,Billy Joel,34285988,11491,132,35817482
164,Bon Jovi,34185886,-47998,143,35672917
165,Kali Uchis,34073918,-83206,49,48511206
166,Nelly Furtado,34003375,-14460,141,35188613
167,Anne-Marie,33962141,-131503,61,41501481
168,Paramore,33696337,27204,164,34692607
169,French Montana,33552479,966,169,33552550
170,Macklemore,33395741,-58763,99,36786309
171,Udit Narayan,33246397,-21621,143,35471807
172,Beéle,33217472,32847,94,39921365
173,Robin Schulz,32864633,-351076,76,35869334
174,Dave,32838789,-45861,127,38342100
175,Mark Ronson,32757559,-79506,131,35103161
176,Cris MJ,32730182,20024,52,49896640
177,Gunna,32693796,-14042,65,43236433
178,DaBaby,32650771,-6413,103,33034561
179,PinkPantheress,32634176,-73321,60,42542320
180,Vishal-Shekhar,32595781,-15272,134,36364096
181,Childish Gambino,32561467,-77672,151,33180571
182,Vance Joy,32410345,-277,117,33447325
183,Snoop Dogg,32375611,-3773,109,34236028
184,Christina Aguilera,32248586,-37860,143,34034008
185,The Marías,32150332,-61168,106,38403726
186,Quevedo,32059581,97956,71,38182790
187,The Script,32052089,29575,171,33695886
188,Metallica,32011957,-57731,144,33549093
189,Becky G,31674867,-87528,78,36514621
190,JHAYCO,31514470,-22532,88,38717830
191,Keyshia Cole,31489460,77240,163,34362696
192,Mithoon,31429224,37434,167,32837399
193,Cardi B,31331339,-97956,84,38247799
194,Noah Kahan,31320056,-3360,86,37900933
195,Ravyn Lenae,31311193,-63679,153,34129616
196,Ella Langley,31198249,47420,196,31198249
197,KATSEYE,31134650,-112033,125,37409058
198,Kygo,31088208,25732,95,37407823
199,XXXTENTACION,31014404,-64204,67,42898057
200,Miguel,30969978,27068,80,34144669
201,Atif Aslam,30897848,5108,175,31946930
202,Tyla,30766627,-82004,85,46584665
203,Sunidhi Chauhan,30746079,-60756,196,31257234
204,The Rolling Stones,30654256,-38793,138,30693049
205,Chappell Roan,30514751,-71079,59,47355595
206,Tanishk Bagchi,30423221,3051,106,38964620
207,Lil Baby,30399818,37130,76,41194598
208,Bryan Adams,30265100,-20144,190,33360916
209,Omar Courtz,30161555,-8995,143,34380610
210,Kodak Black,30055575,-80598,99,33708388
211,Danny Ocean,30053148,-59626,187,30638645
212,Zion & Lennox,29942374,-34788,209,30436443
213,Ryan Castro,29871590,-113017,171,31601589
214,Lil Uzi Vert,29811528,-19386,67,39580515
215,Arcángel,29779479,-55307,112,32070687
216,Cigarettes After Sex,29649723,-39527,123,36545463
217,Outkast,29635268,-46230,195,31497460
218,Journey,29562156,108944,201,29562156
219,KK,29509549,45721,219,29666656
220,Junior H,29465825,-40745,141,31055282
221,Charli xcx,29451241,-60099,56,46491335
222,Whitney Houston,29420062,-22104,135,35060772
223,Backstreet Boys,29412750,-66567,199,31314867
224,Shankar Mahadevan,29403805,-1280,186,31314287
225,Phil Collins,29329616,-16430,211,30455151
226,Bee Gees,29223236,-64756,158,30507430
227,Daft Punk,29210115,-38539,195,31400618
228,Jess Glynne,29196840,-45329,208,30695424
229,Neton Vega,29154353,-53968,142,32724601
230,KPop Demon Hunters Cast,29148372,-129448,30,61126674
231,Juice WRLD,29096550,-54751,92,39483073
232,Ava Max,28985063,-27839,85,42954408
233,Steve Lacy,28981508,45927,111,31029345
234,Alan Walker,28948363,9306,100,33218914
235,G-Eazy,28757837,93154,197,28757837
236,Gigi Perez,28634930,63249,156,31772994
237,Bob Marley & The Wailers,28620992,-118100,170,29094145
238,Sean Kingston,28605129,-50405,105,42816018
239,EJAE,28447573,-144798,39,55600304
240,Tom Odell,28379754,26070,87,38447142
241,Timbaland,28375542,-42709,231,28747197
242,SIENNA SPIRO,28342402,-1161,221,28845671
243,Young Thug,28324530,-18450,97,33656406
244,Maná,28288395,-111694,238,28608255
245,Sayeed Quadri,28233178,77059,245,28233178
246,The Cranberries,28214206,51279,189,32201590
247,Chencho Corleone,28186156,-79221,106,33561627
248,Megan Thee Stallion,28099626,-64004,108,35834865
249,TOTO,28058749,-75795,147,31472214
250,Kumaar,27886277,22806,250,27886277
251,James Arthur,27803050,-13248,69,40276141
252,AFROJACK,27788013,-9907,210,28637697
253,Bizarrap,27773476,4066,28,54300662
254,Carín León,27750102,-75062,125,32386759
255,Rema,27695861,-131271,60,40010586
256,Nickelback,27689007,19818,256,27748062
257,2Pac,27647452,-85225,187,29202405
258,Eagles,27493940,-97650,85,46887140
259,Plan B,27459790,-58530,225,28714634
260,Wisin & Yandel,27444980,-76229,173,28486208
261,Luke Combs,27416687,-14769,114,34881535
262,Avril Lavigne,27391671,60357,214,28551256
263,Kid Cudi,27381167,-45847,149,29550228
264,Temper City,27326870,-110595,252,27892450
265,Tainy,27324017,-35808,91,35233699
266,Natasha Bedingfield,27298789,51362,165,28888240
267,Sonu Nigam,27222342,-43148,181,31415968
268,Mohit Chauhan,27174700,4941,216,28577542
269,Swedish House Mafia,27092313,-37935,187,27429005
270,Aerosmith,26992795,-48852,201,27041647
271,PARTYNEXTDOOR,26885483,-63474,91,38820076
272,Shashwat Sachdev,26884472,-51556,165,33760169
273,Vishal Mishra,26874995,12014,206,29210979
274,Joji,26819600,-50046,116,30286097
275,Alok,26724847,-50476,123,33578843
276,Oliver Tree,26660459,-490625,85,33995315
277,Pink Floyd,26638086,-326,232,28071149
278,Glass Animals,26622755,-252457,132,29182886
279,Luis Fonsi,26577633,-49724,214,29150719
280,Daryl Hall & John Oates,26522892,-37642,133,34537623
281,Alka Yagnik,26505777,-26963,224,28219783
282,Blessd,26466107,-72203,207,28174394
283,B.o.B,26456302,-10568,226,29559833
284,Tinashe,26375904,-110204,138,36041690
285,The Notorious B.I.G.,26350310,-22378,202,27457660
286,Kings of Leon,26278907,-1298,241,26308571
287,Kehlani,26242453,-73794,198,30074064
288,Shaggy,26219662,-82713,286,26423485
289,Dire Straits,26197534,-56023,265,26918663
290,Chris Stapleton,26192707,-60257,197,26834473
291,ROSÉ,26161313,-49183,17,71124800
292,REI AMI,26047463,-105924,41,55202504
293,System Of A Down,25936215,35199,238,26405713
294,Chinmayi,25919558,15729,213,29125644
295,ROSALÍA,25899314,-30538,47,46715627
296,Lorde,25890163,-20333,123,35073097
297,The Cure,25861376,-1861,297,25863237
298,Evanescence,25823077,-16675,290,26567470
299,Florence + The Machine,25729017,-61605,108,35434529
300,Ñengo Flow,25694168,-35883,207,29849029
301,"Earth, Wind & Fire",25665755,-55227,198,26674342
302,Tito Double P,25605892,-50776,219,27135892
303,Fall Out Boy,25575865,-9979,129,35668411
304,T-Pain,25574784,-8669,219,26892783
305,Nelly,25573254,9495,272,25573254
306,HUNTR/X,25560952,-111280,42,54529976
307,Yandel,25555113,43792,126,27875326
308,ZAYN,25534253,-38748,124,36072526
309,Sade,25531384,-2585,278,27114461
310,El Alfa,25511401,-57389,223,27651478
311,Aventura,25510822,-56009,266,26427907
312,Shankar-Ehsaan-Loy,25502766,-23633,243,27425495
313,Prince Royce,25380195,-40046,276,26148841
314,Gwen Stefani,25367371,-682,119,41066058
315,benny blanco,25336555,-22619,99,37348214
316,Martin Garrix,25284283,-50717,175,25335000
317,Disclosure,25276042,-47522,239,25932319
318,Manoj Muntashir,25204559,11866,217,28528462
319,Panic! At The Disco,25201055,-34848,165,27310489
320,AUDREY NUNA,25117380,-107963,43,54291080
321,GIVĒON,24970179,-47811,145,30904678
322,Tyga,24959352,-53787,176,26150613
323,Himesh Reshammiya,24810729,-56895,209,26017575
324,beabadoobee,24801474,-31543,198,26896155
325,Tory Lanez,24705375,26639,180,26498835
326,Train,24658107,24048,171,29211060
327,Natanael Cano,24652210,-33192,159,28962500
328,Doechii,24571685,-132863,29,60581257
329,El Bogueto,24518086,-141973,251,26900751
330,Lynyrd Skynyrd,24502101,-49802,324,24653491
331,Bruce Springsteen,24494056,-42768,107,38727164
332,Zach Bryan,24485281,-44106,119,34463168
333,Jack Harlow,24370643,-122275,29,59210566
334,Oscar Maydon,24190713,-1001,174,28881483
335,Marvin Gaye,23813011,-7140,243,24379618
336,Jonas Blue,23787944,-38195,226,23849386
337,Trippie Redd,23733742,-61680,137,31720053
338,Tears For Fears,23729087,-76103,196,30677179
339,Macklemore & Ryan Lewis,23634942,-43300,190,26489739
340,Lost Frequencies,23617518,-23937,105,36503461
341,Sebastian Yatra,23616132,-67428,137,28235688
342,Lewis Capaldi,23594784,-56341,66,37776153
343,DJ Khaled,23488483,-77392,124,29389696
344,Måneskin,23354268,-142367,134,26818201
345,Lord Huron,23347636,-53589,140,34820218
346,Sameer Anjaan,23319855,-53556,340,23846491
347,Keane,23300791,10755,250,25940688
348,Elvis Presley,23225097,-58423,57,52355319
349,Anirudh Ravichander,23206986,-860,114,31302762
350,Central Cee,23130665,-52917,78,40321501
351,Amit Trivedi,23088107,6047,343,23657452
352,Javed Ali,23055372,9766,295,23768893
353,Weezer,23047030,-23327,345,23681729
354,Big Sean,22938224,-70531,166,29499746
355,Carly Rae Jepsen,22878586,23363,317,22878586
356,Limp Bizkit,22866260,-19412,349,23303301
357,Rels B,22850777,-31215,212,27242105
358,Jay Wheeler,22822817,-7520,300,22830337
359,Grupo Firme,22811771,45723,257,22811771
360,Kapo,22719002,-62796,271,25510155
361,Mike Posner,22651133,-36382,353,23459484
362,Mc Gw,22604480,21761,238,24214206
363,TV Girl,22588641,12857,255,24308827
364,Anderson .Paak,22564531,-64238,197,25813321
365,The Smiths,22537791,-3845,340,23471917
366,ILLIT,22442862,-40117,359,22792151
367,U2,22432464,-24255,233,23105751
368,Dr. Dre,22416461,-48858,194,27880888
369,LE SSERAFIM,22376496,-57180,355,23113922
370,Kelly Clarkson,22319874,53567,26,67762626
371,Bonnie Tyler,22216884,155287,371,22216884
372,Shilpa Rao,22212351,5402,158,28394666
373,Lola Young,22178074,-97603,63,45503184
374,Myles Smith,22159994,-51445,170,28960193
375,Bastille,22152219,-24909,183,26610747
376,Foo Fighters,22072384,-17531,231,23378244
377,Tove Lo,21955327,-82009,321,22614411
378,Brent Faiyaz,21950952,-15793,192,26233756
379,a-ha,21929173,65107,180,28104014
380,Skrillex,21911048,-38973,175,31002761
381,Badshah,21867789,92507,273,23042104
382,Sachet-Parampara,21865973,-18975,277,24339737
383,MGMT,21848746,-25093,371,22571637
384,Ray Dalton,21843165,-42191,277,24428388
385,Vishal Dadlani,21823230,9536,307,24304291
386,The Offspring,21822079,-34006,309,22305034
387,Gabito Ballesteros,21818942,-42022,237,24111439
388,Lily-Rose Depp,21785025,-14319,117,32569522
389,De La Soul,21771439,-86799,232,26335384
390,R.E.M.,21724267,-46973,332,22253526
391,Stevie Wonder,21667987,-58846,114,34912997
392,Luis R Conriquez,21638861,27492,284,23062711
393,FloyyMenor,21619035,105314,66,42961167
394,Sajid-Wajid,21589195,-20146,363,22176674
395,Bob Sinclar,21545471,-72696,384,22037914
396,Rahat Fateh Ali Khan,21490814,44800,392,21490814
397,Laufey,21421851,-35670,82,47315391
398,Luis Miguel,21416147,-79568,279,26346555
399,George Michael,21380804,17993,139,31867957
400,Amy Winehouse,21244239,-94159,279,23227683
401,Anu Malik,21197895,-19261,318,24070292
402,Prince,21160201,-68171,270,25947749
403,Sech,21055482,-78971,174,23591625
404,De La Ghetto,21042158,-56442,238,21703557
405,Bryson Tiller,21011270,-25351,169,28259185
406,Gym Class Heroes,20996395,-34351,374,22480886
407,Migos,20960509,-64238,296,21526916
408,Jessie J,20957690,-26453,304,23379270
409,Shaarib Toshi,20917125,24908,409,20917125
410,felix jaehn,20903349,-98059,194,24535929
411,Mac DeMarco,20879959,-16077,318,21569712
412,John Legend,20850090,-19941,107,37946781
413,Anuv Jain,20825593,83944,403,20825593
414,Yung Beef,20818625,-140772,275,25365505
415,Muse,20813649,-87314,389,21935440
416,Justin Quiles,20793120,-84831,223,21815675
417,Marc Anthony,20743414,-71008,332,21883408
418,Reik,20739717,-65559,253,22018792
419,LAUV,20714660,-92542,257,23017088
420,Young Miko,20700996,-35017,105,33633855
421,Ricky Martin,20665261,-74300,365,21297094
422,Jubin Nautiyal,20658510,31944,241,23979989
423,Conan Gray,20639525,-70183,167,28549479
424,The Jackson 5,20545004,-77354,150,31031521
425,Camilo,20542034,-104347,229,24802954
426,Led Zeppelin,20514389,-73846,294,22695996
427,WizTheMc,20392807,-77645,191,29814765
428,Jasmine Sandlas,20386988,-35644,278,26587532
429,Topic,20330258,-71984,317,22576619
430,blink-182,20289892,-11480,268,22103116
431,JVKE,20285876,40791,110,31684143
432,Foreigner,20283592,-44347,396,20899411
433,Zion,20180270,21303,433,20180270
434,Kylie Minogue,20154354,-135654,233,24715118
435,Shaboozey,20136966,-41468,110,35811664
436,Amaal Mallik,20114225,-19581,390,21105958
437,Sachet Tandon,20053039,8951,305,23730756
438,Lenny Tavárez,20021550,-82087,278,22544589
439,GIMS,19968882,-3682,416,19972564
440,Juanes,19953258,-50347,332,20296281
441,Lenny Kravitz,19948190,-98200,415,21124249
442,David Bowie,19906090,-48162,317,23390242
443,Neeti Mohan,19888483,8475,367,22105912
444,W Sound,19886243,33164,217,26991606
445,Jeet Gannguli,19879634,2933,445,20035672
446,Christian Nodal,19876576,-62904,220,24683573
447,Fetty Wap,19849359,-33,308,24564987
448,FISHER,19847792,-46486,382,20608410
449,Meghan Trainor,19787926,-33804,69,41619008
450,BigXthaPlug,19773196,-39163,305,22793275
451,Banda MS de Sergio Lizárraga,19751774,-60722,393,20327291
452,Jowell & Randy,19737666,-7972,345,23073779
453,Bill Withers,19734203,12270,219,25445001
454,Mitski,19721796,9382,71,39387536
455,MC Meno K,19697587,-52127,323,23750876
456,5 Seconds of Summer,19679288,-70909,205,25934585
457,bees & honey,19675782,-73598,190,29859569
458,BLACKPINK,19675415,-60761,131,35310315
459,Marco Antonio Solís,19643435,-82777,354,21194355
460,Labrinth,19615662,-68134,67,36829106
461,Gotye,19587198,-26432,367,22412465
462,Daya,19504362,-71593,340,23051287
463,Faheem Abdullah,19497651,-63416,176,30931323
464,Zedd,19415181,-33425,317,20179652
465,Dei V,19413340,-46446,155,30795673
466,Julión Álvarez y su Norteño Banda,19411889,-45723,397,19941073
467,Three Days Grace,19396955,-2037,467,19398992
468,Billy Idol,19385768,-41388,446,20289637
469,YoungBoy Never Broke Again,19327228,-12503,288,21034317
470,Jelly Roll,19310499,-5687,159,31608967
471,Summer Walker,19300155,-29315,167,28542051
472,Wisin,19232039,-32499,405,19653443
473,Jason Mraz,19223484,24308,282,21336382
474,Lil Nas X,19208478,-32179,61,37597256
475,Foster The People,19179349,-106695,313,22182297
476,Alessia Cara,19160139,1295,227,25204710
477,KISS,19150732,-2519,472,19155392
478,Ayra Starr,19132620,34614,134,32190133
479,Scorpions,19129485,-28397,477,19347746
480,Mora,19113532,-46876,151,27760085
481,Lil Peep,19107436,-55316,337,22578865
482,Stromae,19079586,-55784,249,25659827
483,Chase Atlantic,19024928,-14565,263,23118141
484,Boney M.,18983911,-73457,268,24770644
485,Calle 24,18976626,-63388,347,20187289
486,MC Ryan SP,18965907,5447,349,22472824
487,Harris Jayaraj,18964381,33440,487,18964381
488,The 1975,18959701,12250,341,19305909
489,Clairo,18954005,-4955,337,20395711
490,Chino Pacas,18950871,-57817,267,21601531
491,Eladio Carrion,18950475,-26753,156,26738598
492,Imogen Heap,18915457,-45393,312,22528883
493,Yo Yo Honey Singh,18907006,-24946,288,23412544
494,Grupo Marca Registrada,18875221,-17451,264,22007861
495,Lata Mangeshkar,18790962,-4833,402,20778642
496,Rae Sremmurd,18782016,-2678,412,19678609
497,S. P. Balasubrahmanyam,18753077,-9452,426,19851480
498,Roddy Ricch,18746379,2568,205,23016594
499,Santana,18727575,-86469,344,20594830
500,De La Rose,18716991,-5692,385,19272035
501,Wizkid,18702988,-39604,474,19013374
502,Noriel,18665684,-332,448,19405496
503,Calum Scott,18642406,-5483,131,28676261
504,Jeremih,18642195,-8907,443,19282580
505,Lenin Ramírez,18626902,-73061,459,19810108
506,The Lumineers,18608489,-48448,165,28855344
507,The Outfield,18563267,252751,406,19223535
508,Raim Laode,18521382,67197,508,18521382
509,My Chemical Romance,18499564,28338,389,20474332
510,Parampara Tandon,18440889,-9089,305,23532260
511,Kimbra,18396461,-31119,416,21162304
512,Fred again..,18387789,-26412,387,21109671
513,Disco Lines,18378702,-116612,224,28255907
514,Cyndi Lauper,18377269,-30421,214,25807659
515,Lil Durk,18283196,-34487,92,34773282
516,Black Sabbath,18270316,-19430,173,31120876
517,Electric Light Orchestra,18263428,-51842,480,19345669
518,Xavi,18255379,-14274,129,31501727
519,Shania Twain,18223393,4745,352,18223393
520,Julieta Venegas,18219508,-35287,376,20328506
521,Alejandro Sanz,18195200,-61502,314,22611713
522,Rex Orange County,18148536,-62710,336,20643088
523,Carlos Vives,18122387,-90968,375,18576958
524,Kunaal Vermaa,18117020,-12530,359,22295359
525,Tones And I,18112868,-66797,416,19771981
526,Eslabon Armado,18073983,-39017,64,40132836
527,ANOTR,18054883,41243,527,18054883
528,Milky Chance,18042757,-86982,417,19088433
529,d4vd,18027325,-41878,94,39826084
530,Diljit Dosanjh,18003002,-33123,247,24307420
531,Frank Sinatra,17982242,-59616,31,64175583
532,Troye Sivan,17965877,-67952,107,32443596
533,Tulsi Kumar,17959571,-16274,346,20616552
534,John Newman,17943287,-22718,532,17976010
535,Mary J. Blige,17934826,-21876,521,18203175
536,Dido,17933212,60263,307,21688560
537,Los Ángeles Azules,17932631,-82995,374,19765045
538,Depeche Mode,17865095,69605,418,17865095
539,Ms. Lauryn Hill,17852369,-61116,486,17974853
540,Offset,17837393,-42341,183,25315155
541,Hotel Ugly,17828702,5069,256,23321907
542,Alphaville,17827788,18643,271,22723241
543,Hariharan,17781734,-7671,471,18803223
544,Rochak Kohli,17781717,-14681,402,19904963
545,Devi Sri Prasad,17764454,240,350,20167765
546,Kailash Kher,17757036,7302,424,20132335
547,Céline Dion,17756991,-27961,105,38976847
548,T.I.,17733949,-1680,548,17861037
549,Men At Work,17713601,45082,510,18879306
550,Aya Nakamura,17702243,80884,550,17702243
551,54 Ultra,17675246,186688,551,17675246
552,Alesso,17665856,-59534,259,21319973
553,Deftones,17641278,-693,451,18168600
554,Sexyy Red,17639397,-29458,105,36995746
555,will.i.am,17628355,-40643,505,18873475
556,Coolio,17590579,32864,367,21308181
557,America,17559569,59580,557,17559569
558,Stephen Sanchez,17514625,-35043,82,34322910
559,MAGIC!,17490362,14566,549,17490362
560,Annie Lennox,17442865,-28771,301,22249919
561,Disturbed,17429150,-25526,286,22402786
562,Sam Fender,17426560,29581,562,17554047
563,Elvis Crespo,17421902,90008,563,17421902
564,CeeLo Green,17386855,-69688,371,22154975
565,Kelly Rowland,17349873,-8692,542,17651896
566,F1 The Album,17346830,-87761,110,37299998
567,Kacey Musgraves,17342553,-43432,182,27365334
568,Paulo Londra,17299700,-67707,401,18776585
569,Lil Tecca,17295129,-27382,176,29777553
570,Ajay-Atul,17267242,-10835,521,17773933
571,3 Doors Down,17266853,5268,430,19932037
572,Pearl Jam,17246022,-8954,488,18203676
573,Yan Block,17227817,-19145,459,18752600
574,Alejandro Fernández,17217960,-105494,404,18505932
575,Edward Maya,17205673,10320,550,17906833
576,La Arrolladora Banda El Limón De Rene Camacho,17181856,-45773,557,17364496
577,Rvssian,17154301,-38077,180,27438055
578,Sal Priadi,17143047,62157,566,17335322
579,Roop Kumar Rathod,17127781,55186,372,21944227
580,Joan Sebastian,17102545,-74160,541,17689772
581,Steve Aoki,17053850,-6680,216,21606912
582,Gucci Mane,17043137,-31534,401,18315442
583,The Fray,17038696,68382,378,20473975
584,Nile Rodgers,17011517,-39874,209,25999504
585,Icona Pop,17007798,-11050,536,18310431
586,Karan Aujla,17001685,-14471,349,21507769
587,The Strokes,16938462,-16918,423,19720753
588,Maria Becerra,16898665,-44033,159,26919900
589,Darell,16883206,-47682,238,22214709
590,Riley Green,16870565,4758,590,16870565
591,Christina Perri,16854002,-13197,424,19427557
592,Piso 21,16832426,-70019,303,20327383
593,Rashmi Virag,16830551,22100,520,17305808
594,Tulus,16776748,183877,594,16776748
595,Jung Kook,16753476,-38255,61,40791781
596,Calibre 50,16750336,-47459,488,17363043
597,A Boogie Wit da Hoodie,16738951,-22194,213,22882543
598,CYRIL,16734581,863,227,25127423
599,TLC,16733042,26651,509,18186132
